,r2_score,MAPE,RMSPE,MSE,description,category
0,0.0732051530610126,0.05,0.06420784055124093,24700.411106070882,Monthly oil products demand in Canada in kb/d,oil_products
0,-35.28798251204036,0.28,0.3304620077055622,476794.55210387596,Monthly bitumen production in Canada in kb/d,crude_oil
0,0.1680232006585013,0.05,0.0710119416111927,490.3465518539138,Monthly C5+ production in Canada in kb/d,crude_oil
0,-2.2689938426767995,0.06,0.0727224051908696,112768.99466406579,Monthly crude oil production in Canada in kb/d,crude_oil
0,-0.7500960745288243,0.04,0.04419908849092848,66838.93625236432,Monthly crude oil demand in Canada in kb/d,crude_oil
0,-4.656178478690317,0.07,0.07415624272472279,91724.9724113428,Monthly crude oil exports from Canada in kb/d,crude_oil
0,-11.25801052503953,0.05,0.04929420784545024,487.82189610900826,Monthly heavy crude oil production in Canada in kb/d,crude_oil
0,-0.18436768818105698,0.07,0.08212383702728332,4217.398188895193,Monthly crude oil imports to Canada in kb/d,crude_oil
0,0.08300651846467344,0.03,0.037997840126264455,818.2242593063468,Monthly light & medium crude oil production in Canada in kb/d,crude_oil
0,-0.09384464116577651,0.06,0.07648360401573148,1139.533557710228,Monthly other liquids production in Canada in kb/d,crude_oil
0,0.03454648532047444,0.05,0.07331307321235495,12780.885244043511,Monthly runs in Canada in kb/d,crude_oil
0,-0.0034086337218981466,1.55,2.0582943325637584,15293.079483836831,Monthly crude oil stock change in Canada in kb/d,crude_oil
0,-0.29983275103125484,0.92,1.4293838670285746,44598.620869997074,Monthly crude oil supply-demand difference in Canada in kb/d,crude_oil
0,-0.003385554402776547,0.08,0.09821319297615513,12888.021317272916,Monthly synthetic crude production in Canada in kb/d,crude_oil
0,-1.067887897990924,0.05,0.05981839785092832,93553.21829688124,Monthly liquids production for Canada in kb/d,liquids
0,-11.844876970393843,0.11,0.13117686488557034,590805.3593366201,Monthly crude oil supply in Canada in kb/d,crude_oil
0,-0.9462132573405702,0.76,0.7971545924289987,10961.55183590942,Monthly crude oil stock adjustments in Canada in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly crude oil production in Canada: Ontario in kb/d,crude_oil
0,-0.13815042891854912,0.04,0.08291553844143616,783.0064740141088,Monthly crude oil demand in Canada: Ontario in kb/d,crude_oil
0,-0.16218338183385916,0.3,0.35104389464850644,948.0327968181846,Monthly crude oil imports to Canada: Ontario in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly light & medium crude oil production in Canada: Ontario in kb/d,crude_oil
0,-0.13815042891854912,0.04,0.08291553844143616,783.0064740141088,Monthly runs in Canada: Ontario in kb/d,crude_oil
0,-1.2085989403032236,0.57,0.645033639931462,54.242855119332276,Monthly crude oil stock change in Canada: Ontario in kb/d,crude_oil
0,-0.7293158073328896,0.03,0.03551280808855013,0.0003018523680203424,Monthly liquids production in Canada: Ontario in kb/d,liquids
0,-0.15810210734623564,0.3,0.3502636958460296,950.2576627719214,Monthly crude oil supply in Canada: Ontario in kb/d,crude_oil
0,-0.23497464590864836,0.11,0.1232465153150336,1820.5067080168271,Monthly crude oil stock adjustments in Canada: Ontario in kb/d,crude_oil
0,-1.2158035520650277,0.09,0.11021937833201188,0.19133635865728346,Monthly C5+ production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.06179834439933907,0.2,0.29084005972114885,0.6864271644633636,Monthly condensate production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-5.897111160554981,0.31,0.3954490112289259,3906.3232560866854,Monthly crude oil production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-1.259131915818656,0.08,0.11175420056693545,8509.613832059615,Monthly crude oil demand in Canada: Quebec & Eastern  in kb/d,crude_oil
0,-0.5615336630575234,0.09,0.13661754034239337,970.7894736842105,Monthly crude oil exports from Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.28284184450577765,0.14,0.15364477946992466,3803.025514190319,Monthly crude oil imports to Canada: Quebec & Eastern in kb/d,crude_oil
0,-5.897111160554981,0.31,0.3954490112289259,3906.3232560866854,Monthly light & medium crude oil production in Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.3287840347674602,0.14,0.16626641797136602,1.1158601200170533,Monthly other liquid production in Canada: Quebec & Eastern in kb/d,crude_oil
0,0.30323393430605927,0.06,0.09696900109679199,2711.593629053503,Monthly runs in Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.90569607646878,0.4,0.459550126985729,344.5679030889011,Monthly crude oil stock change in Canada: Quebec & Eastern in kb/d,crude_oil
0,-6.035075751011403,0.3,0.3790759723514114,3961.403277151393,Monthly liquids production in Canada: Quebec & Eastern in kb/d,liquids
0,0.039971589094121684,0.09,0.1033014436670068,3924.3224205958036,Monthly crude oil supply in Canada: Quebec & Eastern in kb/d,crude_oil
0,-0.03751738868090171,0.15,0.19059534263344752,2823.6991371251365,Monthly crude oil stock adjustments in Canada: Quebec & Eastern in kb/d,crude_oil
0,-35.36110533774959,0.28,0.32943916140894486,474790.7858820549,Monthly bitumen production in Canada: Western Canada in kb/d,crude_oil
0,0.02042459117654105,0.06,0.07829076819986454,575.9540771692856,Monthly C5+ production in Canada: Western Canada in kb/d,crude_oil
0,-0.3640422346192689,0.08,0.09828610410612014,169.5325526618204,Monthly condensate production in Canada: Western Canada in kb/d,crude_oil
0,-28.543592408583347,0.2,0.23315759571024286,1041664.4468339874,Monthly crude oil production in Canada: Western Canada in kb/d,crude_oil
0,-4.554173960192776,0.08,0.08385813430035854,146651.9842723472,Monthly crude oil demand in Canada: Western Canada in kb/d,crude_oil
0,-5.099854101167957,0.08,0.08379722481354061,107028.90634041175,Monthly crude oil exports from Western Canada in kb/d,crude_oil
0,-11.258103456691558,0.05,0.04929420179294976,487.8216708068794,Monthly heavy crude oil production in Canada: Western Canada in kb/d,crude_oil
0,-1.0964346533568654,0.08,0.1081671832118407,801.3621144613131,Monthly crude oil imports to Western Canada in kb/d,crude_oil
0,-30.189836272067986,0.16,0.18250994267759546,11503.827305055529,Monthly light & medium crude oil production in Canada: Western Canada in kb/d,crude_oil
0,0.07287638009059771,0.05,0.07135111895468539,963.7779670760316,Monthly other liquids production in Canada: Western Canada in kb/d,crude_oil
0,-0.9753221967430625,0.1,0.14279202825412798,6221.693566808123,Monthly runs in Canada: Western Canada in kb/d,crude_oil
0,0.053804665399187934,1.37,2.066271732079702,6910.973883210323,Monthly crude oil stock change in Canada: Western Canada in kb/d,crude_oil
0,-0.19747560132368913,0.3,0.42486309979924364,30761.87297047423,Monthly crude oil supply-demand difference in Canada: Western Canada in kb/d,crude_oil
0,-0.003385554402776547,0.08,0.09821319297615513,12888.021317272916,Monthly synthetic crude production in Canada: Western Canada in kb/d,crude_oil
0,-8.09841473561675,0.11,0.13195637664592014,418898.03005222016,Monthly liquids production in Western Canada in kb/d,liquids
0,-13.575486368808084,0.13,0.15762212621516394,667237.0975038147,Monthly crude oil supply in Canada: Western Canada in kb/d,crude_oil
0,-5.05984569306324e+31,1.0,1.0,40873.1080059751,Monthly EA forecast for crude oil stock adjustments in Canada: Western Canada in kb/d,crude_oil
0,-2.1866065975906095e+31,1.0,1.0,4415.816857440166,Monthly heavy crude oil imports to US refining district: Appalachian No. 1 in kb/d,crude_oil
0,-0.490376588591229,0.29,0.4268376775355556,822.187800896484,Monthly heavy crude oil imports to US refining district: Billings in kb/d,crude_oil
0,-0.06251722662957615,0.33,0.5324432100416219,15489.675541912136,Monthly heavy crude oil imports to US refining district: Chicago in kb/d,crude_oil
0,-0.11314955615379563,2.52,7.139101010774446,2457.0678229544005,Monthly heavy crude oil imports to US refining district: Corpus Christi in kb/d,crude_oil
0,-1.229040790073019,1.9,4.45142439544091,1737.8031300907708,Monthly heavy crude oil imports to US refining district: East Coast in kb/d,crude_oil
0,-3.4665157219914287,3.06,4.672284220561677,297.4910798133305,Monthly heavy crude oil imports to US refining district: Guernsey in kb/d,crude_oil
0,-3.6275152213182293,0.62,0.6646948528697851,1107.6118501102576,Monthly heavy crude oil imports to US refining district: Hawaii in kb/d,crude_oil
0,-3.7054133568314906,0.29,0.3399200050323403,16754.18961105529,Monthly heavy crude oil imports to US refining district: Houston in kb/d,crude_oil
0,-0.5882931962123366,0.44,0.5083001569688361,698.7319520807044,Monthly heavy crude oil imports to US refining district: Lake Charles in kb/d,crude_oil
0,-5.706933982130502e+31,1.0,1.0,0.1758584807492196,Monthly heavy crude oil imports to US refining district: Longview in kb/d,crude_oil
0,-0.33786955757508563,0.31,0.4330645081139261,3512.5962230326522,Monthly heavy crude oil imports to US refining district: Los Angeles in kb/d,crude_oil
0,-0.012677312065262791,0.19,0.24950768472100351,1863.757343118362,Monthly heavy crude oil imports to US refining district: Nederland in kb/d,crude_oil
0,-0.21883698972492294,0.43,0.7042351030660849,178.6272494262224,Monthly heavy crude oil imports to US refining district: NoLa-Ark Inland in kb/d,crude_oil
0,-0.10428855472491594,0.13,0.17046313307330938,562.7913015790197,Monthly heavy crude oil imports to US refining district: North Group Three in kb/d,crude_oil
0,-3.320384714542887,0.53,0.5943563363899756,49.26821461605801,Monthly heavy crude oil imports to US refining district: NW Rockies in kb/d,crude_oil
0,-1.6917972941001227,0.28,0.3111370704194524,13167.495773178704,Monthly heavy crude oil imports to US refining district: Patoka in kb/d,crude_oil
0,-4.392995543391451,0.89,0.9011337153622698,7614.169156838941,Monthly heavy crude oil imports to US refining district: Permian in kb/d,crude_oil
0,-2.8433530375453224,1.65,2.132543860347586,25.608599980450936,Monthly heavy crude oil imports to US refining district: Salt Lake City in kb/d,crude_oil
0,-0.18433487149492866,0.66,1.049768221284999,574.4237313500173,Monthly heavy crude oil imports to US refining district: San Francisco in kb/d,crude_oil
0,0.08869236379360401,0.6,0.8338780686064484,55.65717509876591,Monthly heavy crude oil imports to US refining district: South Rockies in kb/d,crude_oil
0,-7.401842078989182,0.83,0.9197755762803927,35820.33563349149,Monthly heavy crude oil imports to US refining district: St James in kb/d,crude_oil
0,-0.5051143510189422,0.73,1.4066143642578026,2708.477915690593,Monthly heavy crude oil imports to US refining district: Toledo in kb/d,crude_oil
0,-4.142939854792474,0.23,0.2845761257565637,411174.33128904214,Monthly heavy crude oil imports to US refining district: Total in kb/d,crude_oil
0,-0.5195039648860471,3.14,5.797580587878354,25661.786343388878,Monthly heavy crude oil imports to US refining district: Twin Cities in kb/d,crude_oil
0,-0.27510671797141883,0.92,1.2568573926104707,246.5711320547391,Monthly heavy crude oil imports to US refining district: Washington in kb/d,crude_oil
